people_id;name;popularity;imdb_id;gender
2991;Robert Wiene;3.025;nm0927468;2
13848;Charlie Chaplin;23.184;nm0000122;2
9076;F. W. Murnau;2.184;nm0003638;2
8635;Buster Keaton;19.109;nm0000036;2
9603;Sergei Eisenstein;4.259;nm0001178;2
68;Fritz Lang;8.567;nm0000485;2
10517;Clyde Bruckman;1.55;nm0115669;2
11572;Carl Theodor Dreyer;4.029;nm0003433;2
2000;Lewis Milestone;1.835;nm0587277;2
1496;Tod Browning;1.747;nm0115218;2
2917;James Whale;2.618;nm0001843;2
30008;Leo McCarey;2.683;nm0564970;2
3239;Ernest B. Schoedsack;1.66;nm0774325;2
3238;Merian C. Cooper;2.716;nm0178260;2
2662;Frank Capra;4.095;nm0001008;2
2636;Alfred Hitchcock;23.01;nm0000033;2
5446;David Hand;1.422;nm0359457;2
4109;Michael Curtiz;3.744;nm0002031;2
67426;William Keighley;3.159;nm0445033;2
11435;Howard Hawks;6.159;nm0001328;2
9049;Victor Fleming;3.057;nm0281808;2
8500;John Ford;5.723;nm0000406;2
11434;Wilfred Jackson;2.621;nm0414144;2
11427;Bill Roberts;0.918;nm0730860;2
11428;Paul Satterfield;2.024;nm0766402;2
5691;Samuel Armstrong;1.567;nm0035899;2
11430;Jim Handley;0.844;nm0359610;2
11432;T. Hee;1.282;nm0373429;2
11429;Hamilton Luske;2.047;nm0527217;2
11426;Ben Sharpsteen;0.969;nm0789313;2
5690;James Algar;1.931;nm0019282;2
226599;Norman Ferguson;1.91;nm0272568;2
1094239;Ford Beebe Jr.;0.077;nm1968474;0
14674;George Cukor;4.319;nm0002030;2
74565;Jack Kinney;1.778;nm0455741;2
40;Orson Welles;18.507;nm0000080;2
6593;John Huston;8.13;nm0001379;2
366;James Mangold;8.554;nm0003506;2
3146;Billy Wilder;7.58;nm0000697;2
10001;William Wyler;3.459;nm0943758;2
834;Otto Preminger;2.481;nm0695937;2
24939;George Seaton;2.114;nm0780833;2
12329;Vittorio De Sica;4.808;nm0001120;2
15378;Carol Reed;1.456;nm0715346;2
10601;Joseph L. Mankiewicz;3.798;nm0000581;2
64864;Clyde Geronimi;3.136;nm0314671;2
33064;Henry Koster;1.859;nm0467396;2
5026;Akira Kurosawa;22.591;nm0000041;2
1744;Robert Wise;4.179;nm0936404;2
2746;Elia Kazan;4.594;nm0001415;2
4065;Fred Zinnemann;4.827;nm0003593;2
13294;Gene Kelly;7.013;nm0000037;2
13284;Stanley Donen;3.065;nm0002045;2
2559;Henri-Georges Clouzot;2.205;nm0167241;2
95501;Yasujirō Ozu;6.795;nm0654868;2
4415;Federico Fellini;8.652;nm0000019;2
10921;Charles Laughton;7.23;nm0001452;2
2765;Nicholas Ray;3.791;nm0712947;2
12300;Fred M. Wilcox;1.55;nm0928208;2
14773;Don Siegel;4.063;nm0796923;2
240;Stanley Kubrick;17.389;nm0000040;2
8636;Cecil B. DeMille;4.688;nm0001124;2
39996;Sidney Lumet;5.398;nm0001486;2
12238;David Lean;6.303;nm0000180;2
6648;Ingmar Bergman;6.862;nm0000005;2
3632;Richard Brooks;3.894;nm0112218;2
1650;François Truffaut;6.762;nm0000076;2
3776;Jean-Luc Godard;9.954;nm0000419;2
14520;John Sturges;2.286;nm0836328;2
1927;Blake Edwards;6.199;nm0001175;2
18669;J. Lee Thompson;2.454;nm0496746;2
14875;Robert Rossen;2.096;nm0744035;2
4081;Stanley Kramer;3.373;nm0006452;2
57314;Wolfgang Reitherman;4.061;nm0718627;2
18868;Jerome Robbins;1.242;nm0730385;2
9855;Terence Young;4.16;nm0950109;2
76978;Masaki Kobayashi;5.876;nm0462030;2
35318;Ken Annakin;2.031;nm0002175;2
9894;Bernhard Wicki;4.248;nm0926919;2
57142;Andrew Marton;2.926;nm0554249;2
8626;Gerd Oswald;2.503;nm0652631;2
8502;Darryl F. Zanuck;1.778;nm0953123;2
13776;John Frankenheimer;4.271;nm0001239;2
8482;Robert Mulligan;1.746;nm0612322;2
18392;Robert Aldrich;6.676;nm0000736;2
9915;Guy Hamilton;5.069;nm0357891;2
5834;Robert Stevenson;3.346;nm0829038;2
4385;Sergio Leone;17.063;nm0001466;2
90694;Gillo Pontecorvo;1.863;nm0690597;2
3556;Roman Polanski;9.811;nm0000591;2
8452;Andrei Tarkovsky;10.64;nm0001789;2
15189;Michelangelo Antonioni;3.979;nm0000774;2
5342;Mike Nichols;5.783;nm0001566;2
793;Luis Buñuel;7.36;nm0000320;2
6448;Arthur Penn;2.055;nm0671957;2
13859;Stuart Rosenberg;3.603;nm0742341;2
13563;Norman Jewison;3.234;nm0422484;2
3831;Jean-Pierre Melville;4.402;nm0578483;2
10076;Lewis Gilbert;2.541;nm0318150;2
12804;Peter Yates;1.821;nm0946811;2
70308;Ken Hughes;3.395;nm0400731;2
14999;George A. Romero;7.158;nm0001681;2
13265;Franklin J. Schaffner;2.492;nm0769874;2
14639;Mel Brooks;24.629;nm0000316;2
9577;George Roy Hill;1.654;nm0001351;2
2778;Dennis Hopper;14.375;nm0000454;2
39779;Peter Collinson;1.848;nm0172772;2
19304;John Schlesinger;0.944;nm0772259;2
9868;Peter R. Hunt;1.455;nm0402597;2
37360;Henry Hathaway;1.446;nm0368871;2
54451;Brian G. Hutton;3.093;nm0404606;2
7767;Sam Peckinpah;6.671;nm0001603;2
18635;Ted Post;2.065;nm0692872;2
9789;Robert Altman;6.25;nm0000265;2
1;George Lucas;21.134;nm0000184;2
15175;William Friedkin;10.883;nm0001243;2
4964;Hal Ashby;2.971;nm0000797;2
39012;Peter Bogdanovich;5.891;nm0000953;2
3451;Mel Stuart;1.514;nm0835799;2
6818;Werner Herzog;11.168;nm0001348;2
66777;Bob Fosse;3.588;nm0002080;2
19665;John Boorman;4.141;nm0000958;2
1776;Francis Ford Coppola;24.873;nm0000338;2
190;Clint Eastwood;62.203;nm0000142;2
7501;Ronald Neame;2.475;nm0623768;2
30715;Terrence Malick;7.931;nm0000517;2
14132;Nicolas Roeg;4.155;nm0001676;2
57727;Robert Clouse;1.884;nm0167195;2
1032;Martin Scorsese;34.33;nm0000217;2
2087;Richard Fleischer;4.0;nm0281507;2
4956;Bernardo Bertolucci;4.515;nm0000934;2
4782;Michael Crichton;6.175;nm0000341;2
80261;Robin Hardy;1.289;nm0362736;2
10707;Terry Jones;4.585;nm0001402;2
280;Terry Gilliam;6.721;nm0000416;2
10051;Tobe Hooper;8.377;nm0001361;2
488;Steven Spielberg;36.997;nm0000229;2
3974;Miloš Forman;4.225;nm0001232;2
13484;Jim Sharman;1.723;nm0788940;2
5970;Pier Paolo Pasolini;7.841;nm0001596;2
85446;Ramesh Sippy;1.081;nm0802693;2
2226;Sydney Pollack;7.109;nm0001628;2
6349;Alan J. Pakula;2.171;nm0001587;2
11770;John Carpenter;21.745;nm0000118;2
1150;Brian De Palma;5.146;nm0000361;2
66222;James Fargo;3.182;nm0267309;2
5602;David Lynch;17.881;nm0000186;2
20412;Michael Anderson;1.86;nm0027183;2
66203;Moustapha Akkad;2.923;nm0002160;2
7187;Richard Donner;5.827;nm0001149;2
16513;John G. Avildsen;3.997;nm0000814;2
1243;Woody Allen;14.937;nm0000095;2
4786;Richard Attenborough;8.73;nm0000277;2
69003;John Lounsbery;4.083;nm0522028;2
67607;Art Stevens;1.539;nm0828245;2
12840;John Badham;3.455;nm0000824;2
67767;Hal Needham;6.629;nm0624102;2
4955;Dario Argento;11.262;nm0000783;2
12114;Michael Cimino;5.279;nm0001047;2
8876;Randal Kleiser;3.751;nm0459170;2
648;Philip Kaufman;1.756;nm0442241;2
16187;Jeannot Szwarc;3.165;nm0844358;2
9168;Alan Parker;3.825;nm0000570;2
4610;John Landis;11.001;nm0000484;2
578;Ridley Scott;38.0;nm0000631;2
45572;Ruggero Deodato;4.805;nm0219959;2
1895;Carl Reiner;7.923;nm0005348;2
6729;Robert Benton;5.884;nm0000914;2
20629;George Miller;11.85;nm0004306;2
16483;Sylvester Stallone;95.474;nm0000230;2
1723;Walter Hill;10.619;nm0001353;2
12936;Jim Abrahams;3.903;nm0000720;2
3415;Jerry Zucker;5.859;nm0958387;2
12987;David Zucker;4.92;nm0001878;2
1524;Harold Ramis;13.755;nm0000601;2
10930;Irvin Kershner;3.031;nm0449984;2
17281;Mike Hodges;2.435;nm0388198;2
35475;Sean S. Cunningham;2.958;nm0192446;2
55668;Jamie Uys;1.756;nm0371059;2
4135;Robert Redford;24.585;nm0000602;2
224;David Cronenberg;11.724;nm0000343;2
10586;Richard Lester;3.233;nm0504513;2
5231;Wolfgang Petersen;10.26;nm0000583;2
58220;Hugh Hudson;1.694;nm0399853;2
8328;John Milius;6.973;nm0587518;2
10179;John Glen;3.061;nm0322515;2
107274;Richard Rich;2.712;nm0723704;2
67604;Ted Berman;1.743;nm0075859;2
58712;Steve Miner;6.7;nm0591171;2
33341;Rick Rosenthal;3.796;nm0742819;2
8858;Ivan Reitman;5.116;nm0718645;2
27746;Ken Finkleman;1.087;nm0277946;2
55983;Jim Henson;6.887;nm0001345;2
7908;Frank Oz;23.704;nm0000568;2
7623;Sam Raimi;21.881;nm0000600;2
57434;Amy Heckerling;2.19;nm0002132;1
16544;Ted Kotcheff;5.482;nm0467646;2
18596;Taylor Hackford;4.21;nm0000431;2
1788;Nicholas Meyer;3.252;nm0583292;2
12859;Steven Lisberger;2.126;nm0513974;2
12698;Bob Clark;3.58;nm0163706;2
21819;Lewis Teague;2.155;nm0853546;2
7270;Adrian Lyne;4.901;nm0001490;2
11777;Tommy Lee Wallace;1.716;nm0908890;2
19800;Richard Marquand;1.672;nm0549658;2
57383;Paul Brickman;1.132;nm0001887;2
3388;James L. Brooks;6.244;nm0000985;2
37710;Peter Hyams;2.653;nm0001382;2
769;Martin Brest;5.517;nm0000976;2
1223;Joel Coen;8.855;nm0001054;2
66987;Fritz Kiersch;0.819;nm0452607;2
18378;Herbert Ross;2.119;nm0006889;2
64195;Joseph Zito;1.556;nm0957263;2
4600;Joe Dante;5.026;nm0001102;2
608;Hayao Miyazaki;22.89;nm0594503;2
8965;Roland Joffé;2.638;nm0423646;2
8246;Barry Levinson;3.667;nm0001469;2
5140;Wes Craven;18.609;nm0000127;2
28898;Michael Radford;2.653;nm0705535;2
2303;Wim Wenders;13.407;nm0000694;2
28904;Hugh Wilson;0.848;nm0933505;2
67897;Jeff Kanew;1.249;nm0437596;2
24;Robert Zemeckis;16.39;nm0000709;2
11505;John Hughes;7.493;nm0000455;2
6159;Ron Howard;20.003;nm0000165;2
1749;Leonard Nimoy;15.327;nm0000559;2
2710;James Cameron;27.102;nm0000116;2
3026;Rob Reiner;17.669;nm0001661;2
87565;Savage Steve Holland;4.026;nm0390822;2
21217;Jonathan Lynn;3.01;nm0528718;2
67753;Mark L. Lester;4.195;nm0504495;2
12964;Michael Ritchie;3.353;nm0006916;2
64796;Tom Holland;3.189;nm0276169;2
57433;George Ogilvie;3.347;nm0644695;2
